Transmitter Kreuzberg 	682 ft 	208 m 	1985 	Guyed Mast 	Kreuzberg 	Bavaria 	50°22′10.22″N 9°58′49.63″E 	
Westend Tower 	682 ft 	208 m 	1993 	Skyscraper 	Frankfurt/Main 	Hesse 	50°6′38.21″N 8°39′43.93″E 	
Chimney Offleben Power Station 	679 ft 	207 m 		Chimney 	Offleben 	Lower Saxony 	52°08′45.64″N 11°01′41.92″E 	
Transmitter Hornisgrinde 	676 ft 	206 m 	1972 	Tower 	Hornisgrinde 	Baden-Württemberg 	48°36′38.98″N 8°12′6.55″E 	
Chimney Knautnaundorf 	673 ft 	205 m 		Chimney 	Knautnaundorf 	Saxony 	51°14′47.47″N 12°16′13.41″E 	
Fuhrländer Wind Turbine Laasow 	673 ft 	205 m 	2006 	Wind turbine on lattice tower 	Laasow 	Brandenburg 	51°43′15.07″N 14°6′24.39″E 	160 metre hub height, rotor with 90 m diameter
Fernsehturm Donnersberg 	672 ft 	204.82 m 	1962 	Tower 	Donnersberg 	Rhineland-Palatinate 	49°37′28.55″N 7°55′25.15″E 	
Chimney Dresden-Reick 	669 ft 	204 m 	1976 	Chimney 	Dresden-Reick 	Saxony 	51°1′28.14″N 13°46′59.78″E 	
TV tower Helpterberge 	667 ft 	203.2 m 	1981 	Tower 	Helpterberge 	Mecklenburg-Western Pomerania 	53°29′0.88″N 13°36′8.15″E 	
Dillberg transmitter, old mast 	666 ft 	203 m 	1956 	Guyed mast 	Dillberg 	Bayern 	49°19′26.17″N 11°22′54.15″E 	grounded mast with cage antenna for medium wave, height was reduced in 1991 to 184 m and in 2005 increased to 198 m by mounting a transmission antenna for DVB-T on its top
Chimney Power Station Franken II 	663 ft 	202 m 	1963/64 	Chimney 	Erlangen 	Bavaria 	49°33′47″N 10°58′25″E 	demolished in 2001
